Gene,HLA 49:36,HLA 81:95,HLA 34:45,HLA 92:44,HLA 70:22,HLA 84:40,HLA 91:85,HLA 47:96,HLA 56:71,HLA 85:65,HLA 58:16,HLA 49:92,HLA 16:79,HLA 60:88,HLA 14:97,HLA 24:67,HLA 85:10,HLA 48:15,HLA 32:42,HLA 29:23,HLA 14:63,HLA 42:82,HLA 59:82,HLA 49:79,HLA 47:76,HLA 33:45,HLA 11:91,HLA 42:37,HLA 61:81,HLA 34:64,HLA 73:75,HLA 15:92,HLA 66:30,HLA 28:82,HLA 33:63,HLA 39:23,HLA 92:79,HLA 83:24,HLA 10:68,HLA 99:13,HLA 40:96,HLA 16:86,HLA 29:26,HLA 45:47,HLA 61:42,HLA 65:75,HLA 97:48,HLA 79:98,HLA 99:99,HLA 47:82,HLA 34:39,HLA 68:84,HLA 50:80,HLA 59:97,HLA 46:38,HLA 66:40,HLA 40:80,HLA 74:47,HLA 10:56,HLA 61:93,HLA 57:10,HLA 82:90,HLA 13:70,HLA 75:79,HLA 54:91,HLA 72:80,HLA 76:69,HLA 57:26,HLA 74:99,HLA 55:40,HLA 36:82,HLA 12:49,HLA 94:80,HLA 32:66,HLA 74:33,HLA 77:11,HLA 49:67,HLA 40:46,HLA 57:43,HLA 57:56,HLA 64:15,HLA 93:54,HLA 69:14,HLA 80:82,HLA 89:41,HLA 21:78,HLA 32:10,HLA 13:48,HLA 16:80,HLA 38:61
ACCN2,3,52,99,93,37,61,23,10,97,17,16,24,7,16,90,49,39,4,17,25,95,73,57,58,42,90,70,21,36,66,74,5,58,70,83,55,77,78,63,74,6,20,33,65,49,59,26,23,3,42,31,33,8,46,3,15,94,8,32,49,47,47,90,28,45,27,31,75,73,42,65,6,54,40,85,92,17,13,60,52,43,35,30,3,3,61,3,97,64,8
ACCN3,64,61,32,11,16,96,66,15,34,47,4,25,88,46,94,92,21,6,71,59,53,21,62,54,95,2,44,61,66,48,2,35,66,44,14,95,40,78,20,55,30,92,64,78,61,55,5,91,74,68,33,54,57,23,16,65,2,42,53,80,99,61,84,69,5,29,64,57,82,32,54,57,40,84,92,24,3,86,18,26,16,33,12,25,26,99,89,39,48,46
ACCN4,61,55,6,99,88,85,91,48,56,11,14,73,87,9,5,98,69,31,97,97,47,84,91,41,50,73,74,50,5,51,33,6,95,43,36,26,98,8,16,84,91,38,87,2,82,45,29,24,23,8,4,37,54,62,59,89,77,97,30,37,65,77,15,83,25,98,17,36,27,40,29,65,16,51,62,39,6,77,80,1,10,51,16,22,66,42,6,92,47,86
ACCSL,20,63,15,37,61,68,35,97,40,63,30,44,26,81,19,70,87,32,37,91,44,12,41,10,16,97,50,78,2,60,50,67,4,86,76,99,64,56,33,85,53,97,81,78,70,6,58,17,65,87,12,30,33,91,17,22,19,12,1,36,39,65,8,20,60,91,93,99,64,44,77,21,14,31,39,94,7,98,75,6,97,61,25,35,15,45,76,4,66,74
ACPT,26,98,1,42,64,33,34,31,15,16,77,27,28,4,34,10,46,7,63,59,19,57,95,80,90,7,65,39,81,48,23,19,82,44,35,48,42,64,40,50,72,71,32,26,10,65,8,18,31,19,77,65,28,61,37,17,29,46,3,87,16,94,56,72,5,63,4,53,5,16,83,48,78,30,94,39,27,86,10,69,36,59,6,6,36,67,66,92,84,58
ACRBP,80,51,50,6,23,68,98,39,28,9,11,53,50,57,53,51,49,82,20,98,91,20,53,79,22,9,3,91,94,34,89,66,89,54,58,45,61,75,12,78,39,69,21,4,90,9,67,37,10,24,73,90,23,63,18,75,93,37,82,55,69,63,98,87,67,46,37,7,13,29,72,25,32,17,74,34,67,74,90,39,24,67,42,53,63,50,42,95,23,49
ACRC,46,46,9,38,31,79,21,52,55,12,66,97,75,83,89,87,26,36,34,52,87,3,30,55,48,26,50,42,73,94,43,87,88,83,76,33,84,3,72,28,58,68,59,64,87,31,85,82,99,34,10,49,52,79,36,7,63,76,27,59,95,59,83,49,52,43,77,42,15,89,77,60,88,92,49,21,25,98,98,99,78,42,37,62,38,74,79,77,45,72
ACRV1,85,64,73,7,62,89,8,33,46,16,61,20,35,18,17,44,37,25,26,17,15,16,18,22,64,66,84,53,67,3,37,32,31,13,22,6,70,39,91,55,73,71,32,38,86,32,87,67,73,51,63,7,80,37,55,66,41,27,68,67,44,99,8,48,20,83,20,65,32,95,6,29,43,24,86,45,2,94,16,68,59,68,20,7,14,22,3,55,34,62
ACSM4,73,3,75,16,69,13,66,21,81,96,85,75,69,92,42,51,43,28,19,29,22,79,33,43,96,11,35,82,81,7,94,92,33,41,36,70,3,52,46,60,85,37,43,35,84,67,62,67,86,97,21,46,87,86,42,13,57,94,21,59,21,66,82,80,41,51,79,42,63,5,56,78,40,37,38,80,5,1,96,38,54,68,55,6,72,64,78,17,77,55
ACTBL2,44,79,79,68,93,4,17,8,52,89,48,35,90,12,14,42,60,52,1,18,86,44,53,98,21,94,39,78,71,11,2,72,39,54,3,24,22,28,26,71,80,14,52,76,52,40,20,6,67,78,18,84,70,91,99,92,60,79,55,79,26,14,51,29,54,33,62,88,9,92,34,72,12,45,53,88,47,1,92,83,37,41,83,52,80,77,42,81,96,67
ACTL6B,45,24,38,23,35,5,9,69,88,13,99,16,87,38,19,13,27,95,38,40,81,92,61,94,62,37,82,98,37,26,28,57,42,18,15,98,52,81,72,98,22,18,26,32,52,50,54,40,74,15,37,65,69,11,69,73,52,68,78,66,4,99,21,3,2,52,2,43,60,14,73,80,11,66,30,21,45,9,85,74,93,61,36,24,40,71,40,5,58,83
ACTL7A,86,28,16,50,24,24,15,96,6,14,1,21,62,90,51,37,2,91,58,41,1,26,1,23,38,79,93,32,77,10,17,34,6,84,94,64,11,94,97,22,18,73,18,75,8,35,13,90,92,20,48,17,87,47,76,15,2,51,85,14,77,39,89,78,19,31,20,47,47,15,54,95,67,16,29,9,82,4,58,95,42,99,94,6,43,1,89,21,74,22
ACTL7B,48,72,81,69,63,10,44,29,49,49,13,64,47,29,71,10,17,43,83,73,97,33,44,60,49,84,83,83,67,27,57,13,46,6,94,7,22,20,65,78,77,71,55,35,59,1,46,12,61,45,87,35,34,6,3,50,19,33,73,42,49,35,91,21,5,16,5,86,58,28,86,73,82,73,83,25,26,85,97,2,52,51,15,63,44,44,86,79,23,67
ACTL8,10,33,78,40,95,15,87,38,71,95,66,65,26,11,63,17,20,87,99,47,33,82,53,88,21,32,91,76,57,47,84,34,77,43,3,77,33,49,28,2,50,17,65,21,34,31,38,18,26,33,32,84,84,4,79,20,54,79,75,43,86,35,70,8,82,63,3,36,24,82,12,46,67,70,45,82,1,6,35,38,29,3,75,59,28,62,20,87,81,27
ACTL9,60,73,53,13,74,12,7,14,40,36,83,14,5,53,60,14,5,60,3,27,26,46,27,78,6,87,20,86,76,42,57,20,11,93,69,45,89,47,21,52,27,61,79,80,28,87,99,55,39,14,4,92,32,46,5,8,94,21,58,82,81,84,88,79,18,15,92,82,64,1,58,21,88,72,58,28,90,10,96,54,56,91,94,10,46,2,44,57,5,32
ACTRT1,47,49,2,95,4,71,22,8,5,48,3,94,89,95,91,91,73,72,19,87,52,91,63,95,73,14,38,14,34,16,17,98,81,2,73,26,64,26,98,89,61,13,5,19,97,55,60,55,77,95,90,94,32,93,66,30,42,56,64,65,37,42,28,86,54,43,98,22,83,77,54,62,36,38,55,2,62,48,93,10,48,89,62,32,72,66,59,76,98,81
ACTRT2,47,49,69,89,33,79,21,59,71,27,39,95,73,59,13,40,17,1,48,8,42,91,6,15,81,12,44,31,29,66,82,60,29,86,13,23,98,16,30,26,81,6,63,47,73,45,36,91,27,10,32,90,12,42,58,36,89,94,54,17,46,25,60,60,97,96,24,24,83,34,70,29,77,97,24,60,63,25,29,26,58,57,45,96,49,63,40,54,89,75
ADAD1,19,57,16,36,31,94,25,17,18,80,3,68,19,36,90,98,26,57,60,97,88,47,11,84,30,30,20,29,2,47,82,23,29,35,2,56,76,4,82,82,52,30,90,5,60,74,78,64,1,24,62,8,7,58,58,53,77,52,70,91,72,3,49,25,70,11,85,21,33,88,78,24,68,41,13,32,1,79,2,24,76,37,13,31,41,48,76,52,99,32
ADAM11,73,81,59,94,95,43,2,64,47,67,2,47,44,95,55,69,24,92,70,99,28,79,77,48,43,71,98,87,13,48,95,77,64,25,78,51,26,44,64,30,72,76,55,71,73,5,55,35,29,85,61,59,4,92,77,94,67,20,72,26,5,59,52,7,34,21,87,73,58,80,51,3,89,26,96,11,34,50,48,52,95,2,36,38,17,99,94,94,46,33
ADAM18,69,57,13,4,86,71,55,17,52,6,40,1,53,99,85,16,8,81,57,4,44,65,74,33,34,14,77,61,41,80,98,69,65,58,94,14,32,25,16,49,21,13,5,43,32,20,35,66,52,66,12,8,70,82,89,99,55,13,40,31,86,34,34,36,84,61,27,37,30,15,58,77,16,74,19,10,34,53,69,85,13,7,17,60,38,22,99,74,40,2
ADAM2,21,59,97,85,74,52,3,13,65,19,41,79,50,69,67,94,83,89,87,2,7,91,70,4,90,34,5,84,73,31,39,3,90,26,11,8,52,62,5,46,87,68,71,50,8,66,91,78,77,99,71,27,65,9,74,46,95,79,92,47,24,80,26,17,3,29,73,56,82,51,46,56,96,15,94,18,83,55,33,13,16,63,58,79,78,87,14,29,21,47
ADAM20,45,73,55,31,75,30,78,50,52,18,28,41,9,35,20,45,38,35,28,31,88,87,51,47,98,51,76,40,38,39,8,78,78,24,82,92,65,3,44,61,96,31,93,83,75,21,35,87,73,50,86,43,5,2,11,21,65,6,97,1,59,40,25,65,41,37,92,22,28,15,17,85,44,20,76,20,41,87,21,57,44,98,34,7,75,82,65,30,75,1
ADAM21,63,9,6,4,67,11,31,42,44,38,89,72,95,75,93,48,5,90,18,31,12,85,18,78,4,58,34,3,42,59,45,22,80,57,93,30,55,1,55,10,23,15,82,88,52,18,76,34,23,30,35,93,5,42,62,33,66,98,44,87,43,56,7,7,40,81,89,35,43,30,23,36,33,40,41,74,76,2,64,31,66,19,92,74,52,45,18,36,20,40
ADAM21P1,19,49,32,66,43,33,36,14,17,43,95,69,1,81,47,73,51,26,71,23,24,64,1,6,43,7,22,59,36,72,8,34,81,73,70,45,52,27,40,47,63,23,51,51,48,57,26,14,36,62,65,83,55,17,13,21,89,35,59,63,65,21,80,62,89,57,9,19,34,48,78,59,27,69,64,72,51,72,37,69,7,71,86,20,13,54,89,66,98,98
ADAM30,76,37,91,43,85,93,83,1,32,26,30,17,6,22,89,18,71,49,44,12,12,12,20,10,67,72,43,29,12,85,94,44,87,64,40,31,35,62,91,28,77,65,45,15,42,25,65,89,56,57,29,48,19,16,5,85,73,75,12,63,39,47,32,24,34,88,49,47,4,3,78,77,10,95,10,93,49,88,11,62,35,25,88,48,30,63,29,59,2,8
ADAM32,4,91,75,72,14,80,71,68,65,53,43,59,92,98,64,14,85,31,92,8,65,26,36,19,89,25,32,16,2,55,14,86,2,59,28,63,76,92,33,64,64,91,19,13,10,32,68,50,68,9,77,79,97,38,74,72,92,68,54,60,59,74,13,74,30,66,25,51,47,50,73,7,19,68,85,2,2,29,68,70,30,33,12,40,61,98,37,27,10,82
ADAM5P,67,30,46,91,10,17,51,59,35,1,47,58,58,16,90,17,59,55,96,25,82,6,96,69,30,25,60,2,15,53,63,33,7,80,68,9,36,78,2,19,14,75,1,43,50,85,67,4,59,14,60,85,16,58,53,25,27,42,22,49,93,78,11,19,19,37,57,38,89,50,45,11,93,62,36,10,95,36,57,12,83,13,35,98,77,5,48,28,71,47
ADAMDEC1,81,34,73,67,85,51,59,64,99,70,4,64,7,92,60,71,20,67,44,15,58,9,33,38,80,92,66,73,39,81,41,48,80,37,13,60,43,91,85,23,45,18,54,98,21,4,83,91,50,27,65,90,72,89,10,20,10,42,10,87,26,80,28,50,95,11,94,22,43,61,35,36,66,31,20,31,74,95,1,2,92,50,56,64,79,78,18,55,26,45
ADAMTS12,72,19,39,1,79,72,37,90,59,2,47,16,48,22,68,80,45,33,9,93,48,40,8,53,10,97,34,70,71,86,83,55,76,83,99,57,60,20,26,39,65,49,61,84,41,12,34,54,4,30,5,72,32,34,4,59,55,73,22,22,79,96,89,75,3,48,17,22,61,77,91,94,86,25,41,18,96,4,42,16,6,82,54,72,47,84,77,91,19,47
ADAMTS14,94,98,46,37,1,54,80,9,76,3,61,13,91,73,45,44,27,89,70,78,77,14,57,15,17,65,99,4,61,24,56,51,23,48,18,16,90,43,79,83,18,50,7,44,12,46,56,71,41,12,25,97,16,38,71,88,31,1,20,5,4,21,63,28,23,52,48,59,97,39,13,25,53,51,67,19,23,90,33,85,38,66,45,25,30,89,48,99,75,3
ADAMTS18,59,13,98,69,56,31,44,35,18,94,63,19,8,55,63,98,39,25,92,6,94,56,80,62,92,98,92,41,48,55,52,56,8,1,49,76,40,84,41,6,53,11,69,99,44,7,30,6,84,65,58,9,81,27,8,35,80,94,2,47,24,32,22,13,32,54,72,89,6,72,50,51,85,78,55,24,22,99,29,15,28,46,45,37,29,35,43,27,57,92
ADAMTS2,6,96,69,64,28,94,76,69,7,89,70,78,70,59,68,63,95,2,87,39,78,7,35,49,22,28,76,23,62,39,13,18,70,30,2,85,34,39,20,64,72,33,20,60,28,96,33,81,40,2,20,90,99,97,37,76,35,62,88,33,21,60,65,22,41,56,37,25,77,93,1,44,13,7,64,15,99,2,31,55,22,57,41,17,57,89,34,87,37,54
ADAMTS20,12,26,95,43,2,59,51,92,17,68,78,28,15,20,64,35,57,4,16,32,75,22,60,64,74,33,93,85,38,72,44,29,53,69,20,35,99,84,53,7,7,93,67,22,60,48,4,6,4,33,44,30,36,57,84,60,77,45,34,40,61,34,33,2,24,25,48,90,83,1,64,41,49,25,90,20,46,36,81,76,29,75,91,88,94,75,53,78,84,31
ADAMTS6,26,12,38,39,60,57,61,33,95,30,15,34,4,64,51,7,53,51,87,81,69,45,52,64,46,83,37,54,6,21,68,97,22,19,30,64,72,4,87,2,31,73,82,46,30,98,34,45,44,79,58,90,58,25,62,99,17,10,53,95,12,5,99,80,93,50,98,44,85,75,54,63,26,58,6,3,26,35,19,17,14,70,41,84,95,18,8,17,78,63
ADAMTS7,18,81,53,96,75,28,90,84,21,55,98,17,47,55,93,93,37,39,63,45,21,96,62,24,33,44,81,70,88,36,53,63,64,63,16,31,91,24,26,82,29,32,28,94,93,35,50,2,78,97,54,34,43,63,59,50,31,39,36,64,77,36,65,95,17,74,11,51,19,93,84,4,37,54,8,96,8,98,99,70,99,44,52,30,31,93,67,47,29,69
ADAT2,24,23,59,4,48,91,96,32,66,27,77,79,64,51,91,95,72,54,66,30,64,23,30,12,91,60,32,23,6,69,19,81,33,41,23,92,49,23,77,96,69,39,20,64,36,3,5,59,16,64,63,92,78,41,3,97,31,63,25,76,65,15,64,69,25,21,36,31,31,29,49,46,28,3,97,17,21,80,15,67,37,41,89,68,4,60,2,71,77,81
ADAT3,23,95,33,91,52,29,71,22,99,51,84,96,24,60,14,27,13,45,5,32,40,12,82,34,62,31,33,39,23,14,65,25,5,8,97,10,50,96,83,6,32,78,7,91,51,19,35,21,19,78,31,94,24,52,25,43,83,92,51,21,78,82,87,10,17,58,75,49,17,7,22,87,77,56,52,55,20,45,72,46,83,41,73,51,36,99,56,7,7,97
ADC,6,19,52,89,52,90,58,1,14,32,62,61,33,81,32,16,57,34,67,33,4,96,70,49,86,67,51,24,65,49,43,63,71,89,39,53,83,84,63,6,48,57,71,64,79,57,89,27,77,19,2,19,63,16,73,32,31,71,12,21,36,60,17,96,75,50,89,52,95,46,46,33,22,74,40,28,38,77,71,10,30,24,90,74,92,64,2,13,53,56
ADCK5,93,48,1,30,79,75,83,40,65,40,91,31,3,51,44,2,70,24,31,29,73,39,91,61,52,44,74,44,10,68,20,19,14,63,17,75,28,98,20,56,24,69,69,39,53,86,62,89,61,11,52,34,6,15,56,28,65,80,96,91,62,37,34,49,27,28,6,48,16,59,75,23,8,3,85,44,87,29,13,55,44,54,64,18,42,44,60,39,39,30
ADD2,78,95,98,97,15,71,68,80,51,29,73,61,27,62,99,67,22,23,18,47,2,28,98,78,98,70,30,9,87,36,62,52,61,54,92,50,65,34,71,25,94,23,44,13,51,85,6,99,19,44,49,82,43,1,42,34,84,58,65,53,99,77,93,58,62,94,68,85,74,79,38,36,1,31,43,55,65,43,60,95,93,42,64,36,71,88,23,21,70,60
ADM2,61,72,89,40,35,56,14,51,25,41,83,38,8,44,23,55,29,56,73,45,55,10,21,47,6,80,47,67,79,60,73,60,1,41,67,9,92,26,68,72,69,44,13,99,19,35,18,86,1,17,47,49,80,86,22,73,42,13,25,7,14,85,34,9,58,98,13,83,42,83,98,89,32,97,57,87,96,78,27,5,57,10,10,30,79,73,41,54,46,57
ADORA1,62,35,36,54,48,29,99,47,26,14,54,94,5,33,83,28,46,65,73,28,98,7,73,22,59,75,29,21,32,11,68,26,88,65,65,48,78,52,57,81,49,92,7,58,20,5,30,50,85,84,70,76,34,96,71,34,28,66,65,37,98,96,80,94,69,83,21,60,50,95,68,78,93,3,56,21,50,47,48,33,17,7,91,96,11,99,77,36,22,46
ADORA3,80,81,47,75,7,47,87,82,77,1,33,90,5,68,12,36,28,5,84,98,29,77,51,62,1,85,77,27,58,9,26,81,97,74,95,89,80,37,32,29,10,69,36,55,98,76,61,18,97,60,19,42,52,86,89,9,51,53,15,46,77,99,77,84,94,16,28,88,27,7,18,90,31,86,6,29,52,44,64,91,11,72,6,92,44,65,11,24,84,75
AFARP1,45,30,10,36,24,91,17,86,81,88,85,32,16,67,69,87,20,52,69,16,23,19,46,80,59,37,19,16,1,88,16,22,83,17,21,81,97,96,37,61,32,50,2,66,54,76,12,44,53,28,64,55,14,76,29,8,82,18,61,71,3,63,81,54,66,67,50,58,75,3,3,1,70,80,29,56,64,10,33,14,91,2,90,52,34,41,22,7,76,5
AFF2,59,67,22,48,14,55,64,22,79,5,61,48,82,41,29,90,39,93,40,3,15,96,28,61,55,23,93,26,84,38,36,87,79,31,62,24,88,84,54,40,11,79,67,67,96,92,59,1,96,78,8,63,36,45,18,67,16,70,20,7,70,82,29,80,51,30,54,10,40,12,43,97,86,31,57,34,71,50,10,46,80,83,76,91,97,71,25,74,35,56
AGAP2,80,5,93,5,98,72,68,58,75,80,76,18,25,37,28,85,36,88,49,51,35,51,10,3,5,89,19,21,75,34,23,88,9,54,65,74,28,2,95,46,63,53,94,90,48,75,58,17,17,51,27,90,62,97,41,96,29,80,82,25,34,96,41,74,6,86,48,4,26,52,37,87,42,80,8,17,51,43,48,23,22,23,5,61,5,7,76,6,98,32
AGAP4,13,4,55,26,62,55,16,67,61,84,8,65,50,30,89,59,45,27,92,11,67,97,14,39,6,68,74,5,85,47,94,71,78,43,45,87,73,72,43,99,47,94,55,1,4,1,6,86,18,66,26,98,37,16,57,88,75,15,94,95,16,1,47,97,56,63,69,60,29,58,99,45,28,83,58,20,21,66,97,57,99,50,87,56,9,50,74,31,92,75
AGAP5,94,97,17,14,3,49,87,37,76,50,31,85,59,8,93,76,57,18,66,3,91,42,65,72,13,98,38,23,95,96,16,73,42,90,38,11,12,88,45,49,22,9,8,45,15,65,81,67,3,77,36,21,73,94,21,93,51,41,19,45,68,74,66,96,88,75,63,52,94,31,37,46,19,14,63,68,26,89,50,65,5,37,83,75,79,95,91,8,32,35
AGAP6,94,50,52,19,21,50,44,94,85,73,30,67,63,44,63,77,94,53,85,19,24,40,44,18,5,75,29,14,40,64,37,79,69,24,32,59,32,96,79,77,59,54,15,56,95,20,10,79,46,33,56,38,97,43,8,19,4,70,6,43,14,2,91,49,51,88,11,66,29,62,40,67,35,83,57,89,88,18,50,64,87,21,68,97,28,61,21,9,42,42
AGAP7,11,7,60,53,75,36,10,55,47,83,84,30,75,1,51,47,41,77,12,93,53,74,29,80,27,37,58,30,58,92,38,90,54,30,18,81,26,38,52,28,7,49,53,67,29,74,42,13,19,41,31,21,23,27,41,8,6,93,38,46,22,80,12,2,49,9,33,13,78,72,50,91,46,94,63,6,99,98,55,57,64,11,4,48,1,80,38,33,83,34
AGAP8,28,34,7,1,10,65,66,71,9,77,50,70,48,24,50,51,39,76,65,75,57,51,74,89,91,75,35,22,1,57,62,33,58,11,85,85,30,51,57,27,26,83,89,3,53,61,10,86,79,83,2,35,65,44,55,43,6,29,86,25,51,23,45,67,66,28,13,65,92,32,71,18,12,94,74,73,1,30,48,5,45,81,84,88,96,48,27,62,26,20
AGBL2,98,7,87,89,71,30,83,32,53,39,10,98,44,20,95,69,29,69,69,53,75,8,67,34,15,15,10,7,84,42,99,11,24,35,5,8,50,56,24,67,63,6,9,31,1,59,89,48,60,70,5,59,79,23,46,27,80,58,69,79,39,67,47,8,21,48,79,96,85,40,68,38,26,42,1,78,61,31,69,93,73,65,55,60,56,37,86,11,50,43
AHRR,89,8,46,89,85,39,61,67,7,94,95,91,8,73,67,51,62,98,42,58,51,84,22,48,38,51,80,15,86,54,36,21,83,45,89,68,68,43,24,7,44,26,50,49,99,30,38,59,99,94,61,93,89,56,36,91,79,90,10,83,79,70,81,48,70,26,97,39,21,88,2,64,92,99,36,7,78,53,31,38,47,98,88,20,13,68,57,9,82,21
AIFM3,77,95,34,72,23,82,55,86,60,76,20,89,29,55,95,23,41,97,49,33,96,70,24,49,25,89,2,88,62,95,74,71,24,67,38,93,93,91,44,44,4,7,52,72,7,60,27,18,55,60,35,31,19,8,33,18,98,68,15,71,36,65,81,97,63,38,53,94,34,38,55,14,65,96,42,69,80,67,94,6,12,26,94,3,28,88,20,40,45,17
